epoch,accuracy,loss,val_accuracy,val_loss
0,0.052753303200006485,0.008114712312817574,0.12455356866121292,0.004328556824475527
1,0.04812775179743767,0.005548351444303989,0.1116071417927742,0.00384585396386683
2,0.05132158473134041,0.004731085151433945,0.12008928507566452,0.003656921675428748
3,0.05220264196395874,0.004501525778323412,0.12232142686843872,0.0033548730425536633
4,0.05363436043262482,0.004536066669970751,0.11249999701976776,0.0033685851376503706
5,0.049339208751916885,0.004269076976925135,0.12366071343421936,0.0030590402893722057
6,0.0448237881064415,0.0041513871401548386,0.12321428209543228,0.002960487036034465
7,0.05000000074505806,0.0038202761206775904,0.11473214626312256,0.0031247329898178577
8,0.04911894351243973,0.003814380383118987,0.1183035746216774,0.0033336738124489784
9,0.05022026598453522,0.0039021249394863844,0.11696428805589676,0.0034458606969565153
10,0.05561674013733864,0.003976724576205015,0.11696428805589676,0.003081417875364423
11,0.05198238044977188,0.0038059931248426437,0.11428571492433548,0.0029878353234380484
12,0.05627753213047981,0.004017196130007505,0.1183035746216774,0.00290079228579998
13,0.04911894351243973,0.0037430678494274616,0.11964285373687744,0.0024708369746804237
14,0.05132158473134041,0.0035616601817309856,0.12098214030265808,0.002600987209007144
15,0.053964756429195404,0.0038237925618886948,0.12812499701976776,0.0025713187642395496
16,0.05616740137338638,0.00351187982596457,0.13080357015132904,0.0025275752414017916
17,0.05770925059914589,0.0036195036955177784,0.12544642388820648,0.0028009910602122545
18,0.05110132321715355,0.003677674336358905,0.13214285671710968,0.0022216979414224625
19,0.052643172442913055,0.0034184767864644527,0.1205357164144516,0.002491321647539735
